symbol,timestamp_utc,open,high,low,close,volume,source,timeframe
QQQ,2012-04-02T00:00:00+00:00,59.9745,60.7527,59.8844,60.6756,45020568,stooq,1d
QQQ,2012-04-03T00:00:00+00:00,60.7264,60.944,60.3196,60.6557,50971256,stooq,1d
QQQ,2012-04-04T00:00:00+00:00,60.2126,60.2383,59.4843,59.8312,60821344,stooq,1d
QQQ,2012-04-05T00:00:00+00:00,59.7364,60.2568,59.6813,60.2038,49783715,stooq,1d
QQQ,2012-04-09T00:00:00+00:00,59.4588,59.994,59.3518,59.753,33203800,stooq,1d
QQQ,2012-04-10T00:00:00+00:00,59.7364,59.9559,58.6059,58.7932,77868376,stooq,1d
QQQ,2012-04-11T00:00:00+00:00,59.3089,59.4667,58.9237,59.0743,70753726,stooq,1d
QQQ,2012-04-12T00:00:00+00:00,59.1923,59.8117,59.1019,59.753,64562601,stooq,1d
QQQ,2012-04-13T00:00:00+00:00,59.5295,59.7442,58.8196,58.8452,62107532,stooq,1d
QQQ,2012-04-16T00:00:00+00:00,59.1479,59.1736,58.0003,58.1884,64758927,stooq,1d
QQQ,2012-04-17T00:00:00+00:00,58.453,59.5558,58.3451,59.3697,53261639,stooq,1d
QQQ,2012-04-18T00:00:00+00:00,59.2019,59.5646,59.0383,59.2195,47834907,stooq,1d
QQQ,2012-04-19T00:00:00+00:00,59.0136,59.7176,58.3352,58.551,91229096,stooq,1d
QQQ,2012-04-20T00:00:00+00:00,58.8716,59.1296,58.3021,58.3902,67369207,stooq,1d
QQQ,2012-04-23T00:00:00+00:00,57.8591,57.9472,57.3316,57.8591,79303681,stooq,1d
QQQ,2012-04-24T00:00:00+00:00,57.7629,57.9915,57.2973,57.5453,55810688,stooq,1d
QQQ,2012-04-25T00:00:00+00:00,58.7316,59.1117,58.65,59.0743,64700961,stooq,1d
QQQ,2012-04-26T00:00:00+00:00,59.047,59.5558,58.9875,59.4236,47003291,stooq,1d
QQQ,2012-04-27T00:00:00+00:00,59.6726,59.9647,59.3617,59.7774,51750181,stooq,1d
QQQ,2012-04-30T00:00:00+00:00,59.5874,59.7225,59.3108,59.3547,42499382,stooq,1d
QQQ,2012-05-01T00:00:00+00:00,59.2814,60.1274,59.2019,59.4499,42335929,stooq,1d
QQQ,2012-05-02T00:00:00+00:00,59.1197,59.6638,59.0136,59.6196,41453049,stooq,1d
QQQ,2012-05-03T00:00:00+00:00,59.6539,59.6989,58.8354,58.9875,57704152,stooq,1d
QQQ,2012-05-04T00:00:00+00:00,58.453,58.9875,57.508,57.5168,120964589,stooq,1d
QQQ,2012-05-07T00:00:00+00:00,57.1767,57.8492,57.1578,57.5716,56218693,stooq,1d
QQQ,2012-05-08T00:00:00+00:00,57.2032,57.5543,56.4357,57.359,81269222,stooq,1d
QQQ,2012-05-09T00:00:00+00:00,56.6914,57.5002,56.4611,57.1846,96408322,stooq,1d
QQQ,2012-05-10T00:00:00+00:00,57.4413,57.4578,56.8542,57.0688,55612196,stooq,1d
QQQ,2012-05-11T00:00:00+00:00,56.8444,57.6618,56.8197,57.0589,52981259,stooq,1d
QQQ,2012-05-14T00:00:00+00:00,56.5709,56.9678,56.4357,56.5237,52140516,stooq,1d
QQQ,2012-05-15T00:00:00+00:00,56.7101,57.1414,56.2404,56.3385,75195834,stooq,1d
QQQ,2012-05-16T00:00:00+00:00,56.561,56.7012,55.8406,55.9572,59407228,stooq,1d
QQQ,2012-05-17T00:00:00+00:00,55.9572,56.0639,54.7641,54.7739,53172991,stooq,1d
